milage,fuel_type,transmission,accident,clean_title,age,depreciation_constant
19361,Gasoline,Automatic,No,No,3,-0.0244255939994115
43000,Electric,Automatic,No,Yes,8,0.1575913922680681
175000,Gasoline,Automatic,No,Yes,14,0.1249318038205078
14000,Gasoline,Automatic,No,Yes,3,0.0719272549805686
67000,Hybrid,Dual Shift,No,Yes,6,0.1147530845387143
69300,Gasoline,Manual,Yes,Yes,23,0.0844871801368716
46000,Hybrid,CVT,No,Yes,6,0.0732224987692965
38000,Gasoline,Automatic,No,Yes,10,0.0893587463426849
42000,Gasoline,Manual,No,Yes,19,0.0484304422722509
7346,Gasoline,Manual,No,Yes,18,0.02594643013941
98231,Gasoline,Automatic,Yes,Yes,17,0.0738673349321166
7800,Electric,Automatic,No,Yes,3,-0.026984043360592
41500,Hybrid,Automatic,No,Yes,5,0.1109138926368155
28000,Gasoline,Automatic,No,Yes,5,0.0756323936142792
53500,Gasoline,Automatic,No,Yes,11,0.0962374501781322
33523,Hybrid,Automatic,No,No,4,0.1116510729446895
86300,Hybrid,Automatic,Yes,Yes,9,0.0790561566773234
7738,Gasoline,Dual Shift,Yes,Yes,3,0.0089396511429128
22001,Gasoline,Automatic,No,Yes,5,0.0600734886553118
14361,Gasoline,Automatic,No,Yes,3,0.0565071794557882
98000,E85 Flex Fuel,Overdrive Switch,Yes,Yes,9,0.1013543331021927
30455,Gasoline,Automatic,No,No,3,0.0604671815660449
64552,Gasoline,Automatic,Yes,Yes,5,0.1396743209393503
103866,Gasoline,Automatic,Yes,Yes,8,0.1085575538469221
35650,Gasoline,Automatic,Yes,Yes,6,0.13921165716216
64957,Gasoline,Automatic,No,Yes,4,0.1500635244331192
33700,Others,Manual,No,Yes,13,0.0471554720062046
96653,Gasoline,Automatic,Yes,Yes,13,0.1283044893266237
63460,E85 Flex Fuel,Automatic,No,Yes,7,0.0278668934564569
32199,Gasoline,Automatic,No,Yes,7,0.0448466016888604
95426,Gasoline,Automatic,No,Yes,14,0.0756772551046479
119900,Gasoline,Manual,Yes,Yes,24,0.0491810780706158
85760,Gasoline,Automatic,No,Yes,29,0.0573893709339458
7500,Gasoline,Automatic,No,Yes,2,-0.0329501132047801
26520,Gasoline,Automatic,Yes,Yes,3,0.1242745127280194
20500,Electric,Automatic,No,Yes,3,0.1523024984411597
5918,Gasoline,Automatic,No,No,7,0.0567279891730544
75000,Gasoline,Manual,Unknown,No,20,0.0713868938370799
95000,Gasoline,Dual Shift,No,Yes,11,0.0762540116686981
49400,Gasoline,Automatic,No,Yes,5,0.0841068813634453
11256,Gasoline,Automatic,No,Yes,5,-0.0081043598782336
2100,Gasoline,Manual,Unknown,No,4,-0.0228062591180166
16100,Gasoline,Automatic,No,Yes,4,0.0330407023707189
5500,Gasoline,Automatic,No,Yes,2,-0.0308465247624776
2010,Gasoline,Dual Shift,No,Yes,3,-0.0480216691731483
102370,Gasoline,Automatic,No,Yes,11,0.1015636766303113
16000,Gasoline,Dual Shift,No,Yes,14,0.028802956117825
248000,E85 Flex Fuel,Automatic,Yes,Yes,15,0.0792040779148295
940,Electric,Automatic,Unknown,No,2,-0.1102251318317316
7900,Electric,Automatic,No,Yes,3,0.0274890389481722
23647,Gasoline,Automatic,No,Yes,5,0.0707340553080478
127941,Gasoline,Automatic,No,Yes,11,0.0886557740205536
157000,E85 Flex Fuel,Automatic,No,Yes,10,0.1138944751622631
9095,Electric,Automatic,No,Yes,2,0.081455612710511
16741,Gasoline,Automatic,No,Yes,5,0.0128076792191777
11100,Gasoline,Dual Shift,No,Yes,2,0.072771152645329
36000,E85 Flex Fuel,Automatic,No,Yes,5,-0.0187422916881255
53782,Gasoline,Manual,Yes,Yes,7,0.0617079786628867
160000,Gasoline,Automatic,No,Yes,14,0.1805343071965221
83400,Gasoline,Automatic,Yes,Yes,9,0.0830110833220168
74414,Gasoline,Automatic,No,Yes,6,0.1225782645600098
53450,Gasoline,Automatic,No,Yes,7,0.1087094294749118
63277,Gasoline,Automatic,No,Yes,7,0.0899087381836969
30900,Gasoline,Automatic,No,Yes,5,0.0708209955472189
60854,Gasoline,Automatic,No,No,6,0.0915780745728329
85000,Gasoline,Automatic,No,Yes,10,0.0784976234958174
108130,Gasoline,Dual Shift,No,Yes,9,0.0760118262119773
11400,Gasoline,Automatic,No,Yes,2,0.0407499197605163
63300,Gasoline,Automatic,No,Yes,12,0.1141118560365452
27500,Electric,Automatic,No,Yes,5,0.1036640392874671
122600,Gasoline,Automatic,Yes,Yes,13,0.1375109599161462
145565,Gasoline,Automatic,Yes,Yes,19,0.1150540161914397
66500,Gasoline,Automatic,No,Yes,9,0.0628383626382041
24781,Gasoline,Automatic,Unknown,No,4,0.095653188039169
67000,Gasoline,Automatic,Yes,Yes,12,0.1254221308752727
24500,Gasoline,Automatic,No,Yes,6,0.1182917524454793
37500,Gasoline,Automatic,No,Yes,12,0.095025645646745
38000,Others,Dual Shift,Unknown,No,29,0.0254675937960841
14550,Hybrid,Automatic,No,Yes,3,0.0629953488842342
67499,Gasoline,Manual,No,Yes,9,0.0490931052300823
220450,Gasoline,Automatic,No,Yes,21,0.0873739317642983
90000,Gasoline,Dual Shift,No,Yes,12,0.0991637336649556
49650,Gasoline,Automatic,Yes,Yes,7,0.15377794371942
149800,Gasoline,Automatic,Yes,Yes,10,0.0946953711699318
91239,Gasoline,Automatic,No,Yes,9,0.1328560477355255
2950,Gasoline,Automatic,No,Yes,3,-0.0453227945559184
58060,Gasoline,Automatic,Yes,Yes,8,0.1091548360674789
7008,Gasoline,Automatic,Unknown,No,4,0.0046923556477519
21057,Gasoline,Dual Shift,No,Yes,3,0.1339102296423003
43000,Gasoline,Automatic,Yes,Yes,5,0.0604648698377301
